a,b,c,d,e,f,g,h,i,j
PT-0001-0032TX-0005-030,15134,,PT-0001-0032,ALFA VERDE FOREST ESPUMA 0417 NG,131,TX-0005-030,ALFA VERDE FOREST,BON_PROD,Y,1
PT-0001-0033TX-0005-001,15135,,PT-0001-0033,ALFA AMARILLO FILM BARRERA,132,TX-0005-001,ALFA AMARILLO,MATP,Y,1
PT-0001-0033PG-0001-018,15136,,PT-0001-0033,ALFA AMARILLO FILM BARRERA,133,PG-0001-018,FILM ADHESIVO TPU BARRERA 1.45 ANCHO,BONINSUM,Y,1
PT-0001-0033PR-0001-011,15137,,PT-0001-0033,ALFA AMARILLO FILM BARRERA,134,PR-0001-011,PROCESO DE FILM,BON_PROD,Y,1
PT-0001-0034TX-0066-002,15138,,PT-0001-0034,LONA LUX AZUL ESPUMA 0317 NG SARGA CRUDO,135,TX-0066-002,LONA LUX AZUL,BON_PROD,Y,1
PT-0001-0034ES-0002-007,15139,,PT-0001-0034,LONA LUX AZUL ESPUMA 0317 NG SARGA CRUDO,136,ES-0002-007,PEELER 030-014 NEGRO U,BON_PROD,Y,1
PT-0001-0034TX-0108-002,15140,,PT-0001-0034,LONA LUX AZUL ESPUMA 0317 NG SARGA CRUDO,137,TX-0108-002,SARGA FM CRUDO PASTOR,BON_PROD,Y,1
PT-0001-0034PR-0001-024,15141,,PT-0001-0034,LONA LUX AZUL ESPUMA 0317 NG SARGA CRUDO,138,PR-0001-024,PROCESO LAMINADO ACRILICO NEGRO,BON_PROD,Y,2
PT-0001-0035SI-0126-001,15142,,PT-0001-0035,TEXANO NEGRO BASE DONNA NG,139,SI-0126-001,TEXANO NEGRO,BON_PROD,Y,1
PT-0001-0035BA-0001-006,15143,,PT-0001-0035,TEXANO NEGRO BASE DONNA NG,140,BA-0001-006,BASE GRIS DN 060 RP,BON_PROD,Y,1
PT-0001-0035PR-0001-011,15144,,PT-0001-0035,TEXANO NEGRO BASE DONNA NG,141,PR-0001-011,PROCESO DE FILM,BON_PROD,Y,1
PT-0001-0036TX-0150-017,15145,,PT-0001-0036,CRONO CONCRETO BASE DN GR,142,TX-0150-017,CRONO CONCRETO,TEIMP,Y,1
PT-0001-0036BA-0001-006,15146,,PT-0001-0036,CRONO CONCRETO BASE DN GR,143,BA-0001-006,BASE GRIS DN 060 RP,SIBASE,Y,1
PT-0001-0036PR-0001-011,15147,,PT-0001-0036,CRONO CONCRETO BASE DN GR,144,PR-0001-011,PROCESO DE FILM,BON_PROD,Y,1
PT-0001-0036PG-0001-025,15148,,PT-0001-0036,CRONO CONCRETO BASE DN GR,145,PG-0001-025,ADHESIVO SMELLTEX TPU CE 200 1.50,BONINSUM,Y,1.5
PT-0001-0037TX-0150-008,15149,,PT-0001-0037,CRONO ROJO BASE DN GR,146,TX-0150-008,CRONO ROJO,TEIMP,Y,1
